noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0250,0.2100,0.124535,0.119489,0.248479,0.000000
0.0250,0.2175,0.125758,0.121324,0.254802,0.000609
0.0250,0.2250,0.138602,0.110740,0.254645,0.000000
0.0250,0.2325,0.137392,0.107928,0.249259,0.000000
0.0250,0.2400,0.131903,0.110229,0.241336,0.000000
0.0250,0.2475,0.148315,0.102121,0.250761,0.000000
0.0250,0.2550,0.145503,0.107560,0.248027,0.000000
0.0250,0.2625,0.157447,0.095111,0.239396,0.000000
0.0250,0.2700,0.136811,0.107433,0.242248,0.000000
0.0250,0.2775,0.143914,0.108417,0.257138,0.000000
0.0250,0.2850,0.158560,0.094649,0.247083,0.000000
0.0250,0.2925,0.155395,0.097187,0.248375,0.000000
0.0250,0.3000,0.160422,0.092601,0.242500,0.000000
0.0300,0.0000,0.022228,0.221816,0.096267,0.125680
0.0300,0.0075,0.034080,0.202095,0.125243,0.079441
0.0300,0.0150,0.034388,0.202377,0.122703,0.085035
0.0300,0.0225,0.038473,0.202700,0.142202,0.064239
0.0300,0.0300,0.043561,0.186837,0.144558,0.053425
0.0300,0.0375,0.053662,0.182534,0.168352,0.035977
0.0300,0.0450,0.043989,0.191489,0.153813,0.044404
0.0300,0.0525,0.050697,0.183411,0.165359,0.032467
0.0300,0.0600,0.061687,0.173553,0.187561,0.016907
0.0300,0.0675,0.058699,0.174230,0.175529,0.030366
0.0300,0.0750,0.069886,0.164036,0.190651,0.018413
0.0300,0.0825,0.064594,0.172424,0.190906,0.020760
0.0300,0.0900,0.077825,0.159118,0.210902,0.003640
0.0300,0.0975,0.067589,0.162078,0.191364,0.013405
0.0300,0.1050,0.079909,0.158798,0.214731,0.007671
0.0300,0.1125,0.085744,0.153796,0.223047,0.004964
0.0300,0.1200,0.076971,0.157709,0.211403,0.001036
0.0300,0.1275,0.085732,0.152065,0.221296,0.002006
0.0300,0.1350,0.092039,0.143919,0.225611,0.000000
0.0300,0.1425,0.105770,0.136571,0.241481,0.001254
0.0300,0.1500,0.105095,0.134431,0.238779,0.000000
0.0300,0.1575,0.097267,0.143302,0.234496,0.000000
0.0300,0.1650,0.111566,0.128343,0.238939,0.000000
0.0300,0.1725,0.120368,0.124557,0.244909,0.000000
0.0300,0.1800,0.117183,0.124796,0.244833,0.000000
0.0300,0.1875,0.120690,0.119822,0.244564,0.000000
