noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0180,0.2571,0.072111,0.312822,0.185278,0.127544
0.0180,0.2679,0.076899,0.304596,0.194904,0.109693
0.0180,0.2786,0.079579,0.301710,0.200040,0.102084
0.0180,0.2893,0.077056,0.303651,0.192799,0.112243
0.0180,0.3000,0.082866,0.295352,0.204948,0.090830
0.0180,0.3107,0.085519,0.291767,0.210433,0.083376
0.0180,0.3214,0.091234,0.279465,0.218435,0.062700
0.0180,0.3321,0.094491,0.275020,0.223430,0.057238
0.0180,0.3429,0.092373,0.280762,0.221938,0.064843
0.0180,0.3536,0.089011,0.286492,0.216208,0.074774
0.0180,0.3643,0.101490,0.264356,0.234444,0.041628
0.0180,0.3750,0.103130,0.260875,0.235775,0.041316
0.0180,0.3857,0.107528,0.255852,0.246498,0.022380
0.0180,0.3964,0.103599,0.260396,0.238754,0.035269
0.0180,0.4071,0.104933,0.259422,0.241628,0.032657
0.0180,0.4179,0.116865,0.239621,0.256179,0.020532
0.0180,0.4286,0.114275,0.245550,0.255500,0.017975
0.0180,0.4393,0.117845,0.239570,0.260680,0.010106
0.0180,0.4500,0.123498,0.231009,0.269091,0.002306
0.0180,0.4607,0.122475,0.232383,0.266717,0.008613
0.0180,0.4714,0.121448,0.232935,0.264465,0.012171
0.0180,0.4821,0.134941,0.217863,0.286737,0.005871
0.0180,0.4929,0.128396,0.223903,0.273147,0.010910
0.0180,0.5036,0.128663,0.225040,0.277860,0.000118
0.0180,0.5143,0.138820,0.211501,0.289299,0.003774
0.0180,0.5250,0.140698,0.207602,0.289498,0.002701
0.0180,0.5357,0.144232,0.201410,0.293590,0.004435
0.0180,0.5464,0.143346,0.203899,0.293851,0.001319
0.0180,0.5571,0.145940,0.200600,0.296950,0.000000
0.0180,0.5679,0.150826,0.195086,0.303514,0.000841
0.0180,0.5786,0.150180,0.196545,0.303005,0.001386
0.0180,0.5893,0.154619,0.189031,0.306819,0.000000
0.0180,0.6000,0.157254,0.189291,0.316159,0.000000
