noise_strength,eve_rate,qber_mean
0.0200,0.0975,0.071395
0.0200,0.1050,0.073713
0.0200,0.1125,0.071699
0.0200,0.1200,0.076440
0.0200,0.1275,0.072316
0.0200,0.1350,0.098845
0.0200,0.1425,0.077664
0.0200,0.1500,0.092843
0.0200,0.1575,0.097657
0.0200,0.1650,0.092613
0.0200,0.1725,0.113594
0.0200,0.1800,0.108432
0.0200,0.1875,0.120553
0.0200,0.1950,0.125076
0.0200,0.2025,0.122460
0.0200,0.2100,0.111532
0.0200,0.2175,0.115921
0.0200,0.2250,0.124733
0.0200,0.2325,0.135522
0.0200,0.2400,0.140660
0.0200,0.2475,0.135846
0.0200,0.2550,0.148559
0.0200,0.2625,0.151872
0.0200,0.2700,0.151976
0.0200,0.2775,0.155895
0.0200,0.2850,0.157709
0.0200,0.2925,0.159029
0.0200,0.3000,0.161098
0.0220,0.0000,0.021710
0.0220,0.0075,0.030205
0.0220,0.0150,0.030123
0.0220,0.0225,0.036326
0.0220,0.0300,0.041443
0.0220,0.0375,0.043744
0.0220,0.0450,0.041209
0.0220,0.0525,0.041904
0.0220,0.0600,0.052731
0.0220,0.0675,0.058659
0.0220,0.0750,0.059856
0.0220,0.0825,0.060219
0.0220,0.0900,0.061673
0.0220,0.0975,0.069585
0.0220,0.1050,0.065321
0.0220,0.1125,0.075129
0.0220,0.1200,0.078974
0.0220,0.1275,0.088020
0.0220,0.1350,0.084070
0.0220,0.1425,0.089013
0.0220,0.1500,0.089092
0.0220,0.1575,0.100249
0.0220,0.1650,0.091104
0.0220,0.1725,0.107083
0.0220,0.1800,0.103611
0.0220,0.1875,0.116854
0.0220,0.1950,0.121889
0.0220,0.2025,0.113333
0.0220,0.2100,0.136174
0.0220,0.2175,0.122711
0.0220,0.2250,0.140150
0.0220,0.2325,0.134016
0.0220,0.2400,0.135256
0.0220,0.2475,0.132410
0.0220,0.2550,0.144556
0.0220,0.2625,0.169384
0.0220,0.2700,0.154508
0.0220,0.2775,0.143424
0.0220,0.2850,0.149602
0.0220,0.2925,0.159975
0.0220,0.3000,0.155493
0.0240,0.0000,0.022969
0.0240,0.0075,0.027690
0.0240,0.0150,0.027506
0.0240,0.0225,0.033662
0.0240,0.0300,0.038117
0.0240,0.0375,0.042347
0.0240,0.0450,0.044536
0.0240,0.0525,0.047457
0.0240,0.0600,0.058274
0.0240,0.0675,0.058752
0.0240,0.0750,0.052871
0.0240,0.0825,0.069747
0.0240,0.0900,0.061375
0.0240,0.0975,0.070447
0.0240,0.1050,0.079010
0.0240,0.1125,0.080865
0.0240,0.1200,0.078138
0.0240,0.1275,0.072141
0.0240,0.1350,0.080950
0.0240,0.1425,0.092532
0.0240,0.1500,0.103406
0.0240,0.1575,0.100601
0.0240,0.1650,0.102532
0.0240,0.1725,0.100711
0.0240,0.1800,0.105798
0.0240,0.1875,0.119129
0.0240,0.1950,0.112304
0.0240,0.2025,0.117196
0.0240,0.2100,0.123734
0.0240,0.2175,0.129076
0.0240,0.2250,0.127429
0.0240,0.2325,0.129393
0.0240,0.2400,0.140680
0.0240,0.2475,0.147654
