noise_strength,eve_rate,qber_mean
0.2600,0.3500,0.316858
0.2600,0.4000,0.328400
0.2600,0.4500,0.342652
0.2600,0.5000,0.341857
0.2600,0.5500,0.380565
0.2600,0.6000,0.386679
0.2600,0.6500,0.394129
0.2600,0.7000,0.425566
0.2600,0.7500,0.418527
0.2600,0.8000,0.428758
0.2600,0.8500,0.440509
0.2600,0.9000,0.471144
0.2600,0.9500,0.476279
0.2600,1.0000,0.484971
0.2800,0.0000,0.221975
0.2800,0.0500,0.240201
0.2800,0.1000,0.244281
0.2800,0.1500,0.282636
0.2800,0.2000,0.272598
0.2800,0.2500,0.290699
0.2800,0.3000,0.302500
0.2800,0.3500,0.318619
0.2800,0.4000,0.341268
0.2800,0.4500,0.350539
0.2800,0.5000,0.365819
0.2800,0.5500,0.377417
0.2800,0.6000,0.407283
0.2800,0.6500,0.391477
0.2800,0.7000,0.421113
0.2800,0.7500,0.415007
0.2800,0.8000,0.428778
0.2800,0.8500,0.446140
0.2800,0.9000,0.480360
0.2800,0.9500,0.484797
0.2800,1.0000,0.494951
0.3000,0.0000,0.250161
0.3000,0.0500,0.249843
0.3000,0.1000,0.260671
0.3000,0.1500,0.266292
0.3000,0.2000,0.285599
0.3000,0.2500,0.298772
0.3000,0.3000,0.305912
0.3000,0.3500,0.323695
0.3000,0.4000,0.319759
0.3000,0.4500,0.369890
0.3000,0.5000,0.373562
0.3000,0.5500,0.356056
0.3000,0.6000,0.402761
0.3000,0.6500,0.410696
0.3000,0.7000,0.402986
0.3000,0.7500,0.431729
0.3000,0.8000,0.445189
0.3000,0.8500,0.470816
0.3000,0.9000,0.471214
0.3000,0.9500,0.484508
0.3000,1.0000,0.522370
