noise_strength,eve_rate,qber_mean
0.2400,0.5000,0.219903
0.2400,0.5500,0.226111
0.2400,0.6000,0.241079
0.2400,0.6500,0.226434
0.2400,0.7000,0.245807
0.2400,0.7500,0.263103
0.2400,0.8000,0.290003
0.2400,0.8500,0.282210
0.2400,0.9000,0.285361
0.2400,0.9500,0.309961
0.2400,1.0000,0.308399
0.2600,0.0000,0.134263
0.2600,0.0500,0.138522
0.2600,0.1000,0.142312
0.2600,0.1500,0.146505
0.2600,0.2000,0.179966
0.2600,0.2500,0.166329
0.2600,0.3000,0.194159
0.2600,0.3500,0.195276
0.2600,0.4000,0.199704
0.2600,0.4500,0.214362
0.2600,0.5000,0.219146
0.2600,0.5500,0.233533
0.2600,0.6000,0.229510
0.2600,0.6500,0.250403
0.2600,0.7000,0.256429
0.2600,0.7500,0.265361
0.2600,0.8000,0.284307
0.2600,0.8500,0.289244
0.2600,0.9000,0.293757
0.2600,0.9500,0.310374
0.2600,1.0000,0.305774
0.2800,0.0000,0.140137
0.2800,0.0500,0.144752
0.2800,0.1000,0.172834
0.2800,0.1500,0.170864
0.2800,0.2000,0.180942
0.2800,0.2500,0.179872
0.2800,0.3000,0.195138
0.2800,0.3500,0.202548
0.2800,0.4000,0.199014
0.2800,0.4500,0.233150
0.2800,0.5000,0.229539
0.2800,0.5500,0.247052
0.2800,0.6000,0.253503
0.2800,0.6500,0.254832
0.2800,0.7000,0.268729
0.2800,0.7500,0.292126
0.2800,0.8000,0.282277
0.2800,0.8500,0.287529
0.2800,0.9000,0.303218
0.2800,0.9500,0.307525
0.2800,1.0000,0.323082
0.3000,0.0000,0.146458
0.3000,0.0500,0.156753
0.3000,0.1000,0.169390
0.3000,0.1500,0.170560
0.3000,0.2000,0.182267
0.3000,0.2500,0.193633
0.3000,0.3000,0.197890
0.3000,0.3500,0.223807
0.3000,0.4000,0.223471
0.3000,0.4500,0.235936
0.3000,0.5000,0.226106
0.3000,0.5500,0.245222
0.3000,0.6000,0.263452
0.3000,0.6500,0.255993
0.3000,0.7000,0.270155
0.3000,0.7500,0.300143
0.3000,0.8000,0.292469
0.3000,0.8500,0.291771
0.3000,0.9000,0.295683
0.3000,0.9500,0.304628
0.3000,1.0000,0.341229
