noise_strength,eve_rate,qber_mean,iab_mean,iae_mean,skr_mean
0.0300,0.2550,0.081500,0.298805,0.204095,0.094710
0.0300,0.2700,0.078933,0.303146,0.196154,0.108516
0.0300,0.2850,0.082506,0.293950,0.203050,0.090900
0.0300,0.3000,0.079451,0.300701,0.199499,0.101203
0.0300,0.3150,0.094877,0.274836,0.224764,0.053379
0.0300,0.3300,0.097029,0.272339,0.228861,0.049657
0.0300,0.3450,0.090595,0.282257,0.217643,0.066745
0.0300,0.3600,0.103183,0.263369,0.239431,0.039599
0.0300,0.3750,0.103835,0.257582,0.235018,0.037764
0.0300,0.3900,0.105385,0.261845,0.245455,0.031049
0.0300,0.4050,0.112546,0.249576,0.256424,0.014619
0.0300,0.4200,0.117135,0.244337,0.263763,0.011572
0.0300,0.4350,0.116577,0.240236,0.256364,0.013384
0.0300,0.4500,0.123645,0.233427,0.272573,0.004084
0.0300,0.4650,0.131035,0.220465,0.278735,0.004995
0.0300,0.4800,0.127003,0.222489,0.269511,0.005651
0.0300,0.4950,0.142710,0.205731,0.292369,0.002506
0.0300,0.5100,0.135765,0.215291,0.286409,0.004029
0.0300,0.5250,0.135722,0.215404,0.284196,0.002917
0.0300,0.5400,0.141979,0.206192,0.291408,0.002352
0.0300,0.5550,0.151589,0.196193,0.305707,0.005527
0.0300,0.5700,0.157187,0.186109,0.310491,0.000000
0.0300,0.5850,0.146032,0.202169,0.297131,0.003866
0.0300,0.6000,0.167893,0.175910,0.327490,0.000000
0.0400,0.0000,0.020379,0.431326,0.071074,0.360251
0.0400,0.0150,0.023628,0.423839,0.079261,0.344579
0.0400,0.0300,0.030666,0.401708,0.097492,0.304216
0.0400,0.0450,0.032532,0.395408,0.102092,0.293315
0.0400,0.0600,0.036143,0.388470,0.110330,0.278140
0.0400,0.0750,0.040923,0.375883,0.119517,0.256366
0.0400,0.0900,0.041133,0.380312,0.123188,0.257124
0.0400,0.1050,0.047327,0.359797,0.134103,0.225693
0.0400,0.1200,0.048177,0.359963,0.137437,0.222526
0.0400,0.1350,0.055922,0.343370,0.151930,0.191439
0.0400,0.1500,0.058749,0.335871,0.157429,0.178442
0.0400,0.1650,0.055893,0.343139,0.153161,0.189978
0.0400,0.1800,0.060402,0.342395,0.167305,0.175091
0.0400,0.1950,0.060198,0.339777,0.161723,0.178611
0.0400,0.2100,0.074764,0.308148,0.190052,0.118096
0.0400,0.2250,0.072600,0.317865,0.188135,0.129730
0.0400,0.2400,0.078585,0.301243,0.196757,0.104486
0.0400,0.2550,0.087200,0.282434,0.208866,0.077610
0.0400,0.2700,0.080072,0.302874,0.201326,0.101547
0.0400,0.2850,0.087882,0.283815,0.211485,0.072330
0.0400,0.3000,0.093399,0.280125,0.222775,0.067206
0.0400,0.3150,0.097115,0.266384,0.225616,0.044927
0.0400,0.3300,0.096613,0.274101,0.228299,0.059059
0.0400,0.3450,0.096239,0.272816,0.227284,0.049490
0.0400,0.3600,0.100506,0.271669,0.238031,0.046030
0.0400,0.3750,0.110559,0.251453,0.250547,0.022460
0.0400,0.3900,0.116387,0.243496,0.258704,0.018889
0.0400,0.4050,0.116136,0.245651,0.260449,0.018593
0.0400,0.4200,0.115952,0.242159,0.257341,0.016083
0.0400,0.4350,0.122645,0.235857,0.271243,0.009252
0.0400,0.4500,0.139712,0.207746,0.288554,0.000000
0.0400,0.4650,0.133614,0.215643,0.281857,0.000448
0.0400,0.4800,0.134227,0.216499,0.283001,0.004120
0.0400,0.4950,0.135984,0.215499,0.287001,0.003146
0.0400,0.5100,0.142875,0.206175,0.296125,0.004400
0.0400,0.5250,0.141300,0.204339,0.289361,0.002049
0.0400,0.5400,0.140804,0.210352,0.295148,0.000695
0.0400,0.5550,0.154906,0.187224,0.304876,0.000040
0.0400,0.5700,0.161093,0.184958,0.317242,0.001059
0.0400,0.5850,0.163431,0.178803,0.318397,0.000000
0.0400,0.6000,0.155027,0.191303,0.313197,0.000000
0.0500,0.0000,0.021586,0.429843,0.074257,0.355585
0.0500,0.0150,0.027103,0.411524,0.087876,0.323647
0.0500,0.0300,0.033687,0.391320,0.104380,0.286941
0.0500,0.0450,0.031015,0.398118,0.097382,0.300736
0.0500,0.0600,0.038565,0.379578,0.115522,0.264055
0.0500,0.0750,0.047551,0.363551,0.136349,0.227203
0.0500,0.0900,0.045150,0.369667,0.132333,0.237333
0.0500,0.1050,0.049569,0.366845,0.143755,0.223089
0.0500,0.1200,0.052969,0.352586,0.149414,0.203172
0.0500,0.1350,0.058376,0.342820,0.161080,0.181740
0.0500,0.1500,0.059707,0.338009,0.161091,0.176917
0.0500,0.1650,0.063874,0.332855,0.171845,0.161010
0.0500,0.1800,0.072378,0.317821,0.187979,0.129842
0.0500,0.1950,0.065068,0.334889,0.176911,0.157979
0.0500,0.2100,0.077402,0.298239,0.191461,0.106777
0.0500,0.2250,0.077890,0.301723,0.194677,0.109207
0.0500,0.2400,0.085893,0.287171,0.208829,0.078781
0.0500,0.2550,0.084404,0.291257,0.207243,0.087905
0.0500,0.2700,0.093988,0.277272,0.222828,0.064280
0.0500,0.2850,0.101494,0.267108,0.238492,0.037427
0.0500,0.3000,0.091158,0.282906,0.222094,0.062136
0.0500,0.3150,0.097825,0.270762,0.230938,0.043731
0.0500,0.3300,0.103179,0.261156,0.237244,0.035261
0.0500,0.3450,0.108354,0.253292,0.246408,0.024590
0.0500,0.3600,0.105704,0.258415,0.243985,0.026774
0.0500,0.3750,0.107436,0.255205,0.245795,0.022444
0.0500,0.3900,0.120677,0.233884,0.262516,0.009535
0.0500,0.4050,0.127853,0.228474,0.277626,0.006092
0.0500,0.4200,0.125208,0.229693,0.269907,0.013623
0.0500,0.4350,0.128969,0.226330,0.278570,0.003914
0.0500,0.4500,0.133026,0.219898,0.284402,0.003747
0.0500,0.4650,0.135115,0.218979,0.289221,0.007010
0.0500,0.4800,0.123608,0.230690,0.267110,0.007324
0.0500,0.4950,0.141175,0.207841,0.293459,0.003970
0.0500,0.5100,0.152567,0.190703,0.303197,0.000644
0.0500,0.5250,0.150447,0.196495,0.305105,0.000000
0.0500,0.5400,0.164836,0.179240,0.320160,0.002762
0.0500,0.5550,0.146874,0.201545,0.301955,0.001682
0.0500,0.5700,0.162800,0.180722,0.317578,0.000000
0.0500,0.5850,0.165766,0.174809,0.316791,0.001488
0.0500,0.6000,0.171771,0.172832,0.335868,0.000000
0.0600,0.0000,0.032263,0.400512,0.102188,0.298323
0.0600,0.0150,0.032191,0.400922,0.101278,0.299644
0.0600,0.0300,0.040971,0.376449,0.121351,0.255099
0.0600,0.0450,0.037576,0.383340,0.113360,0.269980
0.0600,0.0600,0.040115,0.379505,0.120495,0.259011
0.0600,0.0750,0.048375,0.366795,0.140005,0.226791
0.0600,0.0900,0.051230,0.366010,0.148090,0.217920
0.0600,0.1050,0.057968,0.339316,0.157184,0.182132
0.0600,0.1200,0.060616,0.340091,0.166109,0.173982
0.0600,0.1350,0.060822,0.333193,0.162907,0.170286
0.0600,0.1500,0.061406,0.338335,0.168365,0.169969
0.0600,0.1650,0.066999,0.324484,0.176816,0.147668
0.0600,0.1800,0.080838,0.304112,0.204688,0.099425
0.0600,0.1950,0.072849,0.309265,0.185035,0.124230
0.0600,0.2100,0.076510,0.302630,0.192170,0.110461
0.0600,0.2250,0.086374,0.293152,0.213748,0.081564
0.0600,0.2400,0.087782,0.288362,0.214338,0.078530
0.0600,0.2550,0.092805,0.276429,0.220771,0.059813
0.0600,0.2700,0.088937,0.285059,0.214241,0.072649
0.0600,0.2850,0.098492,0.271643,0.233757,0.044790
0.0600,0.3000,0.093657,0.276735,0.222565,0.061481
0.0600,0.3150,0.101674,0.261691,0.234609,0.039504
0.0600,0.3300,0.104391,0.261182,0.239618,0.040007
0.0600,0.3450,0.109028,0.250722,0.245778,0.025425
0.0600,0.3600,0.110530,0.249612,0.248088,0.023806
0.0600,0.3750,0.112697,0.249691,0.255109,0.018745
0.0600,0.3900,0.123430,0.235677,0.270823,0.014388
0.0600,0.4050,0.126508,0.231130,0.277370,0.005905
0.0600,0.4200,0.127573,0.227637,0.276263,0.001153
0.0600,0.4350,0.134053,0.219103,0.286897,0.000861
0.0600,0.4500,0.137349,0.213202,0.287498,0.003718
0.0600,0.4650,0.137426,0.215256,0.292044,0.001301
0.0600,0.4800,0.134195,0.221050,0.289550,0.002630
0.0600,0.4950,0.154481,0.191370,0.311730,0.000000
0.0600,0.5100,0.146407,0.203095,0.303805,0.000034
0.0600,0.5250,0.150963,0.190415,0.298885,0.000910
0.0600,0.5400,0.167448,0.176638,0.327362,0.000000
0.0600,0.5550,0.153945,0.189800,0.302800,0.001046
0.0600,0.5700,0.174221,0.166703,0.331197,0.000000
0.0600,0.5850,0.168093,0.172646,0.321754,0.000000
0.0600,0.6000,0.176596,0.166103,0.338997,0.000000
0.0700,0.0000,0.034912,0.394734,0.109266,0.285468
0.0700,0.0150,0.033115,0.398554,0.103646,0.294908
0.0700,0.0300,0.041451,0.381514,0.125386,0.256128
